컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
은평구-봉산도시자연공원-2,봉산도시자연공원,1.14E+18,서울특별시 은평구 신사동 237-19,,서울특별시 은평구 가좌로11가길 38-10,126.9039167,37.59719444,공원명,,,,,,,,,,,,,,,,,,,
동대문구-활터어린이공원-1,텃골공원,,서울특별시 동대문구 전농동 690-1,,서울특별시 동대문구 서울시립대로12길 39,127.0516667,37.57766667,공원명,,,,,,,,,,,,,,,,,,,
마포구-망원동 마을마당-1,망원동 마을마당,1.14E+18,서울특별시 마포구 합정동 450-3,,서울특별시 마포구 동교로 2,126.9031944,37.55127778,공원명,,,,,,,,,,,,,,,,,,,
동작구-노량진근린공원-4,노량진근린공원,,서울특별시 동작구 대방동 350-5,,서울특별시 동작구 여의대방로36길 71,126.9275556,37.50866667,공원명,,,,,,,,,,,,,,,,,,,
강북구-삼양마을마당-1,삼양마을마당,1.13E+18,서울특별시 강북구 미아동 760-67,,서울특별시 강북구 삼양로43길 32,127.0182487,37.62250412,공원명,,,,,,,,,,,,,,,,,,,
성동구-살곶이공원-6,살곶이공원,1.12E+18,서울특별시 성동구 사근동 104,,,127.0469233,37.55397346,공원명,,,,,,,,,,,,,,,,,,,
성동구-수도박물관-1,수도박물관,,서울특별시 성동구 성수동1가 642-1,1.12E+21,서울특별시 성동구 왕십리로 27,127.0430556,37.53866667,공원명,,,,,,,,,,,,,,,,,,,
성동구-수도박물관-3,수도박물관,,서울특별시 성동구 성수동1가 642-1,1.12E+21,서울특별시 성동구 왕십리로 27,127.0430556,37.53866667,공원명,,,,,,,,,,,,,,,,,,,
성동구-수도박물관-2,수도박물관,,서울특별시 성동구 성수동1가 642-1,1.12E+21,서울특별시 성동구 왕십리로 27,127.0430556,37.53866667,공원명,,,,,,,,,,,,,,,,,,,
마포구-홍제천 생태하천공원-1,홍제천 생태하천공원,1.14E+18,서울특별시 마포구 성산동 595,,서울특별시 마포구 월드컵로 207,126.9017222,37.56333333,공원명,,,,,,,,,,,,,,,,,,,
성동-사근어린이공원,성동-사근어린이공원,,서울특별시 성동구 사근동 291-10,,서울특별시 성동구 사근동11나길 20,127.0476754,37.56345765,상세위치,,,,,,,,,,,,,,,,,,,
강남구-도산공원-3,도산공원,,서울특별시 강남구 신사동 649-9,,서울특별시 강남구 도산대로45길 20,127.0359471,37.52428308,공원명,,,,,,,,,,,,,,,,,,,
성동구-용답근린공원-1,용답근린공원,1.12E+18,서울특별시 성동구 용답동 129-2,,서울특별시 성동구 천호대로 232,127.0475556,37.56991667,공원명,,,,,,,,,,,,,,,,,,,
마포구-옹달샘어린이공원-1,옹달샘어린이공원,1.14E+18,서울특별시 마포구 망원동 408-4,,서울특별시 마포구 망원로2길 51,126.9021667,37.55486111,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광동자투리녹지-1,불광동자투리녹지,1.14E+18,서울특별시 은평구 불광동 329-35,,서울특별시 은평구 통일로78가길 11,126.9257503,37.61848713,공원명,,,,,,,,,,,,,,,,,,,
성북구-동산어린이공원,성북구-동산어린이공원,,서울특별시 성북구 하월곡동 96-78,,서울특별시 성북구 종암로36길 53,127.0346751,37.60625522,상세주소,,,,,,,,,,,,,,,,,,,
동작구-노량진근린공원-5,노량진근린공원,,서울특별시 동작구 대방동 350-5,,서울특별시 동작구 여의대방로36길 71,126.9276944,37.50791667,공원명,,,,,,,,,,,,,,,,,,,
은평구-연천초교앞마을마당-1,연천초교앞마을마당,1.14E+18,서울특별시 은평구 불광동 346-24,,서울특별시 은평구 연서로34길 20,126.9286667,37.62122222,공원명,,,,,,,,,,,,,,,,,,,
성동구-살곶이공원-7,살곶이공원,1.12E+18,서울특별시 성동구 사근동 103-1,,,127.0474444,37.55411111,공원명,,,,,,,,,,,,,,,,,,,
강북구-청암어린이공원-1,청암어린이공원,1.13E+18,서울특별시 강북구 미아동 776-17,,서울특별시 강북구 삼양로53길 19-9,127.0171674,37.62412212,공원명,,,,,,,,,,,,,,,,,,,
동작구-노량진근린공원-9,노량진근린공원,1.16E+18,서울특별시 동작구 상도동 356-201,,서울특별시 동작구 상도로15사길 8,126.9326667,37.50386111,공원명,,,,,,,,,,,,,,,,,,,
은평구-대조청사옆마을마당-1,대조청사옆마을마당,1.14E+18,서울특별시 은평구 대조동 214-7,,서울특별시 은평구 연서로20길 24-3,126.9206111,37.61411111,공원명,,,,,,,,,,,,,,,,,,,
은평구-봉산도시자연공원-5,봉산도시자연공원,1.14E+18,서울특별시 은평구 증산동 산 21-3,,서울특별시 은평구 증산로5길 37-11,126.9040401,37.58488574,공원명,,,,,,,,,,,,,,,,,,,
