Route_ID,TARGET_FID
청구아파트나들목_3km_초급,2273
청구아파트나들목_3km_초급,887
청구아파트나들목_3km_초급,8312
청구아파트나들목_3km_초급,2187
청구아파트나들목_3km_초급,8531
청구아파트나들목_3km_초급,5741
청구아파트나들목_3km_초급,74
청구아파트나들목_3km_초급,239
청구아파트나들목_3km_초급,3009
청구아파트나들목_3km_초급,2218
청구아파트나들목_3km_초급,9065
청구아파트나들목_3km_초급,3941
청구아파트나들목_3km_초급,4755
청구아파트나들목_3km_초급,8430
청구아파트나들목_3km_초급,6409
청구아파트나들목_3km_초급,6956
청구아파트나들목_3km_초급,4398
청구아파트나들목_3km_초급,1338
청구아파트나들목_3km_초급,6641
청구아파트나들목_3km_초급,8180
청구아파트나들목_3km_초급,2207
청구아파트나들목_3km_초급,5655
청구아파트나들목_3km_초급,5886
청구아파트나들목_3km_초급,1210
청구아파트나들목_3km_초급,2724
청구아파트나들목_3km_초급,3399
청구아파트나들목_3km_초급,3296
청구아파트나들목_3km_초급,1934
청구아파트나들목_3km_초급,3496
청구아파트나들목_3km_초급,1893
청구아파트나들목_3km_초급,1884
청구아파트나들목_3km_초급,8447
청구아파트나들목_3km_초급,4156
청구아파트나들목_3km_초급,7
청구아파트나들목_3km_초급,1873
청구아파트나들목_3km_초급,61
청구아파트나들목_3km_초급,4849
청구아파트나들목_3km_초급,3724
청구아파트나들목_3km_초급,7129
청구아파트나들목_3km_초급,7648
청구아파트나들목_3km_초급,1779
청구아파트나들목_3km_초급,6373
청구아파트나들목_3km_초급,855
청구아파트나들목_3km_초급,7908
청구아파트나들목_3km_초급,9302
청구아파트나들목_3km_초급,7367
청구아파트나들목_3km_초급,3585
청구아파트나들목_5km_중급,2433
청구아파트나들목_5km_중급,7492
청구아파트나들목_5km_중급,217
청구아파트나들목_5km_중급,3585
청구아파트나들목_5km_중급,7367
청구아파트나들목_5km_중급,9302
청구아파트나들목_5km_중급,7908
청구아파트나들목_5km_중급,855
청구아파트나들목_5km_중급,6373
청구아파트나들목_5km_중급,1779
청구아파트나들목_5km_중급,7648
청구아파트나들목_5km_중급,7129
청구아파트나들목_5km_중급,3724
청구아파트나들목_5km_중급,4849
청구아파트나들목_5km_중급,61
청구아파트나들목_5km_중급,1873
청구아파트나들목_5km_중급,7
청구아파트나들목_5km_중급,4156
청구아파트나들목_5km_중급,8447
청구아파트나들목_5km_중급,1884
청구아파트나들목_5km_중급,9198
청구아파트나들목_5km_중급,2569
청구아파트나들목_5km_중급,5277
청구아파트나들목_5km_중급,1221
청구아파트나들목_5km_중급,425
청구아파트나들목_5km_중급,122
청구아파트나들목_5km_중급,8545
청구아파트나들목_5km_중급,1850
청구아파트나들목_5km_중급,8078
청구아파트나들목_5km_중급,8570
청구아파트나들목_5km_중급,2511
청구아파트나들목_5km_중급,4128
청구아파트나들목_5km_중급,3419
청구아파트나들목_5km_중급,4738
청구아파트나들목_5km_중급,8725
청구아파트나들목_5km_중급,7287
청구아파트나들목_5km_중급,8146
청구아파트나들목_5km_중급,4940
청구아파트나들목_5km_중급,4083
청구아파트나들목_5km_중급,6437
청구아파트나들목_5km_중급,621
청구아파트나들목_5km_중급,8703
청구아파트나들목_5km_중급,3394
청구아파트나들목_5km_중급,2644
청구아파트나들목_5km_중급,5311
청구아파트나들목_5km_중급,9378
청구아파트나들목_5km_중급,411
청구아파트나들목_5km_중급,1207
청구아파트나들목_5km_중급,5319
청구아파트나들목_5km_중급,6660
청구아파트나들목_5km_중급,471
청구아파트나들목_5km_중급,6624
청구아파트나들목_5km_중급,9104
청구아파트나들목_5km_중급,5854
청구아파트나들목_5km_중급,7307
청구아파트나들목_5km_중급,7816
청구아파트나들목_5km_중급,4476
청구아파트나들목_5km_중급,6116
청구아파트나들목_5km_중급,5886
청구아파트나들목_5km_중급,5655
청구아파트나들목_5km_중급,7422
